indices,value,var,var_percentage,high,low,date
ROTX LEI,27100.76,-31.89,-0.12,27208.67,27066.76,2023-01-31
BET-XT LEI,1061.73,0.11,0.01,1064.41,1060.04,2023-01-31
BET-XT-TR LEI,2052.36,0.21,0.01,2057.54,2049.1,2023-01-31
BET-NG LEI,899.44,-0.37,-0.04,903.1,897.9,2023-01-31
BET-BK LEI,2322.22,5.65,0.24,2324.39,2316.37,2023-01-31
BET-TRN LEI,23577.78,6.53,0.03,23641.51,23539.64,2023-01-31
BET-XT-TRN LEI,2042.79,0.21,0.01,2047.95,2039.54,2023-01-31
BET USD,2023.76,1.95,0.1,0.0,0.0,2023-01-31
BET-TR USD,18007.56,17.35,0.1,0.0,0.0,2023-01-31
BETPlus USD,1297.51,0.87,0.07,0.0,0.0,2023-01-31
BET-FI USD,27546.44,-11.07,-0.04,0.0,0.0,2023-01-31
BET-XT USD,604.27,0.48,0.08,0.0,0.0,2023-01-31
BET-XT-TR USD,1521.23,1.2,0.08,0.0,0.0,2023-01-31
BET-NG USD,511.9,0.14,0.03,0.0,0.0,2023-01-31
BET-BK USD,1477.67,4.61,0.31,0.0,0.0,2023-01-31
BET-TRN USD,17917.64,17.27,0.1,0.0,0.0,2023-01-31
BET-XT-TRN USD,1514.17,1.2,0.08,0.0,0.0,2023-01-31
BET EUR,8653.63,34.4,0.4,0.0,0.0,2023-01-31
BET-TR EUR,21748.38,86.45,0.4,0.0,0.0,2023-01-31
BETPlus EUR,1632.54,6.01,0.37,0.0,0.0,2023-01-31
BET-FI EUR,22236.95,58.12,0.26,0.0,0.0,2023-01-31
BET-XT EUR,749.22,2.85,0.38,0.0,0.0,2023-01-31
BET-XT-TR EUR,1858.19,7.06,0.38,0.0,0.0,2023-01-31
BET-NG EUR,635.42,2.09,0.33,0.0,0.0,2023-01-31
BET-BK EUR,2014.99,12.34,0.62,0.0,0.0,2023-01-31
BET-TRN EUR,21748.38,86.45,0.4,0.0,0.0,2023-01-31
BET-XT-TRN EUR,1849.36,7.03,0.38,0.0,0.0,2023-01-31
BET LEI,12228.21,45.35,0.37,12249.84,12182.86,2023-02-01
BET-TR LEI,23784.31,88.21,0.37,23826.38,23696.1,2023-02-01
BETPlus LEI,1827.03,6.3,0.35,1829.7,1820.73,2023-02-01
BET-FI LEI,50055.54,-207.8,-0.41,50445.4,49676.15,2023-02-01
ROTX LEI,27206.51,105.75,0.39,27273.24,27110.68,2023-02-01
BET-XT LEI,1065.32,3.59,0.34,1067.08,1061.73,2023-02-01
BET-XT-TR LEI,2059.3,6.94,0.34,2062.71,2052.36,2023-02-01
BET-NG LEI,905.78,6.34,0.7,907.62,899.44,2023-02-01
BET-BK LEI,2331.73,9.51,0.41,2334.05,2322.08,2023-02-01
BET-TRN LEI,23665.55,87.77,0.37,23707.41,23577.78,2023-02-01
BET-XT-TRN LEI,2049.7,6.91,0.34,2053.09,2042.79,2023-02-01
BET USD,2044.8,21.04,1.04,0.0,0.0,2023-02-01
BET-TR USD,18194.81,187.25,1.04,0.0,0.0,2023-02-01
BETPlus USD,1310.66,13.15,1.01,0.0,0.0,2023-02-01
BET-FI USD,27615.02,68.58,0.25,0.0,0.0,2023-02-01
BET-XT USD,610.35,6.08,1.01,0.0,0.0,2023-02-01
BET-XT-TR USD,1536.53,15.3,1.01,0.0,0.0,2023-02-01
BET-NG USD,518.94,7.04,1.38,0.0,0.0,2023-02-01
BET-BK USD,1493.59,15.92,1.08,0.0,0.0,2023-02-01
BET-TRN USD,18103.96,186.32,1.04,0.0,0.0,2023-02-01
BET-XT-TRN USD,1529.4,15.23,1.01,0.0,0.0,2023-02-01
BET EUR,8713.93,60.3,0.7,0.0,0.0,2023-02-01
BET-TR EUR,21899.93,151.55,0.7,0.0,0.0,2023-02-01
BETPlus EUR,1643.49,10.95,0.67,0.0,0.0,2023-02-01
BET-FI EUR,22216.63,-20.32,-0.09,0.0,0.0,2023-02-01
BET-XT EUR,754.18,4.96,0.66,0.0,0.0,2023-02-01
BET-XT-TR EUR,1870.5,12.31,0.66,0.0,0.0,2023-02-01
BET-NG EUR,641.97,6.55,1.03,0.0,0.0,2023-02-01
BET-BK EUR,2029.78,14.79,0.73,0.0,0.0,2023-02-01
BET-TRN EUR,21899.93,151.55,0.7,0.0,0.0,2023-02-01
BET-XT-TRN EUR,1861.62,12.26,0.66,0.0,0.0,2023-02-01
BET LEI,12123.71,-62.08,-0.51,12208.91,12062.23,2023-02-02
BET-TR LEI,23581.04,-120.75,-0.51,23746.75,23461.46,2023-02-02
BETPlus LEI,1811.85,-8.82,-0.48,1824.38,1802.95,2023-02-02
BET-FI LEI,49721.47,-231.95,-0.46,50020.96,49515.46,2023-02-02
ROTX LEI,26936.74,-136.68,-0.5,27131.1,26748.97,2023-02-02
BET-XT LEI,1056.51,-5.16,-0.49,1063.88,1051.18,2023-02-02
BET-XT-TR LEI,2042.27,-9.97,-0.49,2056.51,2031.95,2023-02-02
BET-NG LEI,897.7,-3.69,-0.41,906.3,889.08,2023-02-02
BET-BK LEI,2314.38,-11.86,-0.51,2331.3,2306.11,2023-02-02
BET-TRN LEI,23463.3,-120.14,-0.51,23628.18,23344.31,2023-02-02
BET-XT-TRN LEI,2032.75,-9.92,-0.49,2046.92,2022.48,2023-02-02
BET USD,2021.33,-10.71,-0.53,0.0,0.0,2023-02-02
BET-TR USD,17985.92,-95.32,-0.53,0.0,0.0,2023-02-02
BETPlus USD,1295.92,-6.54,-0.5,0.0,0.0,2023-02-02
BET-FI USD,27349.53,-132.48,-0.48,0.0,0.0,2023-02-02
BET-XT USD,603.51,-3.06,-0.5,0.0,0.0,2023-02-02
BET-XT-TR USD,1519.31,-7.69,-0.5,0.0,0.0,2023-02-02
BET-NG USD,512.79,-2.2,-0.43,0.0,0.0,2023-02-02
BET-BK USD,1478.09,-7.84,-0.53,0.0,0.0,2023-02-02
BET-TRN USD,17896.11,-94.84,-0.53,0.0,0.0,2023-02-02
BET-XT-TRN USD,1512.26,-7.65,-0.5,0.0,0.0,2023-02-02
BET EUR,8609.15,-63.19,-0.73,0.0,0.0,2023-02-02
BET-TR EUR,21636.6,-158.8,-0.73,0.0,0.0,2023-02-02
BETPlus EUR,1624.12,-11.51,-0.7,0.0,0.0,2023-02-02
BET-FI EUR,21990.94,-151.36,-0.68,0.0,0.0,2023-02-02
BET-XT EUR,745.32,-5.29,-0.7,0.0,0.0,2023-02-02
BET-XT-TR EUR,1848.53,-13.12,-0.7,0.0,0.0,2023-02-02
BET-NG EUR,634.01,-4.01,-0.63,0.0,0.0,2023-02-02
BET-BK EUR,2007.61,-14.74,-0.73,0.0,0.0,2023-02-02
BET-TRN EUR,21636.6,-158.8,-0.73,0.0,0.0,2023-02-02
BET-XT-TRN EUR,1839.75,-13.06,-0.7,0.0,0.0,2023-02-02
BET LEI,12139.42,15.71,0.13,12206.51,12123.71,2023-02-03
BET-TR LEI,23611.6,30.56,0.13,23742.09,23581.04,2023-02-03
BETPlus LEI,1814.08,2.23,0.12,1823.63,1811.85,2023-02-03
BET-FI LEI,49749.09,27.62,0.06,49969.33,49609.82,2023-02-03
ROTX LEI,27027.08,90.34,0.34,27164.21,26941.53,2023-02-03
BET-XT LEI,1058.04,1.53,0.14,1062.57,1056.51,2023-02-03
BET-XT-TR LEI,2045.22,2.95,0.14,2053.99,2042.27,2023-02-03
BET-NG LEI,903.52,5.82,0.65,908.55,897.7,2023-02-03
BET-BK LEI,2317.99,3.61,0.16,2325.49,2314.25,2023-02-03
BET-TRN LEI,23493.7,30.4,0.13,23623.54,23463.3,2023-02-03
BET-XT-TRN LEI,2035.69,2.94,0.14,2044.42,2032.75,2023-02-03
BET USD,2000.36,-20.97,-1.04,0.0,0.0,2023-02-03
BET-TR USD,17799.29,-186.63,-1.04,0.0,0.0,2023-02-03
BETPlus USD,1282.39,-13.53,-1.04,0.0,0.0,2023-02-03
BET-FI USD,27045.73,-303.8,-1.11,0.0,0.0,2023-02-03
BET-XT USD,597.34,-6.17,-1.02,0.0,0.0,2023-02-03
BET-XT-TR USD,1503.77,-15.54,-1.02,0.0,0.0,2023-02-03
BET-NG USD,510.1,-2.69,-0.52,0.0,0.0,2023-02-03
BET-BK USD,1463.14,-14.95,-1.01,0.0,0.0,2023-02-03
BET-TRN USD,17710.41,-185.7,-1.04,0.0,0.0,2023-02-03
BET-XT-TRN USD,1496.79,-15.47,-1.02,0.0,0.0,2023-02-03
BET EUR,8586.86,-22.29,-0.26,0.0,0.0,2023-02-03
BET-TR EUR,21580.57,-56.03,-0.26,0.0,0.0,2023-02-03
BETPlus EUR,1619.81,-4.31,-0.27,0.0,0.0,2023-02-03
BET-FI EUR,21917.77,-73.17,-0.33,0.0,0.0,2023-02-03
BET-XT EUR,743.5,-1.82,-0.24,0.0,0.0,2023-02-03
BET-XT-TR EUR,1844.02,-4.51,-0.24,0.0,0.0,2023-02-03
BET-NG EUR,635.64,1.63,0.26,0.0,0.0,2023-02-03
BET-BK EUR,2002.94,-4.67,-0.23,0.0,0.0,2023-02-03
BET-TRN EUR,21580.57,-56.03,-0.26,0.0,0.0,2023-02-03
BET-XT-TRN EUR,1835.26,-4.49,-0.24,0.0,0.0,2023-02-03
BET LEI,12168.16,28.74,0.24,12222.55,12139.42,2023-02-04
BET-TR LEI,23667.5,55.9,0.24,23773.3,23611.6,2023-02-04
BETPlus LEI,1818.02,3.94,0.22,1825.86,1814.08,2023-02-04
BET-FI LEI,49722.52,-26.57,-0.05,49900.0,49533.71,2023-02-04
ROTX LEI,27118.62,91.54,0.34,27219.83,27036.65,2023-02-04
BET-XT LEI,1059.57,1.53,0.14,1064.26,1058.04,2023-02-04
BET-XT-TR LEI,2048.18,2.96,0.14,2057.25,2045.22,2023-02-04
BET-NG LEI,906.25,2.73,0.3,912.41,903.52,2023-02-04
BET-BK LEI,2315.98,-2.01,-0.09,2329.54,2313.93,2023-02-04
BET-TRN LEI,23549.33,55.63,0.24,23654.59,23493.7,2023-02-04
BET-XT-TRN LEI,2038.64,2.95,0.14,2047.66,2035.69,2023-02-04
BET USD,2019.04,18.68,0.93,0.0,0.0,2023-02-04
BET-TR USD,17965.5,166.21,0.93,0.0,0.0,2023-02-04
BETPlus USD,1294.11,11.72,0.91,0.0,0.0,2023-02-04
BET-FI USD,27219.27,173.54,0.64,0.0,0.0,2023-02-04
BET-XT USD,602.36,5.02,0.84,0.0,0.0,2023-02-04
BET-XT-TR USD,1516.42,12.65,0.84,0.0,0.0,2023-02-04
BET-NG USD,515.2,5.1,1.0,0.0,0.0,2023-02-04
BET-BK USD,1472.04,8.9,0.61,0.0,0.0,2023-02-04
BET-TRN USD,17875.8,165.39,0.93,0.0,0.0,2023-02-04
BET-XT-TRN USD,1509.38,12.59,0.84,0.0,0.0,2023-02-04
BET EUR,8619.97,33.11,0.39,0.0,0.0,2023-02-04
BET-TR EUR,21663.79,83.22,0.39,0.0,0.0,2023-02-04
BETPlus EUR,1625.74,5.93,0.37,0.0,0.0,2023-02-04
BET-FI EUR,21938.6,20.83,0.1,0.0,0.0,2023-02-04
BET-XT EUR,745.68,2.18,0.29,0.0,0.0,2023-02-04
BET-XT-TR EUR,1849.43,5.41,0.29,0.0,0.0,2023-02-04
BET-NG EUR,638.51,2.87,0.45,0.0,0.0,2023-02-04
BET-BK EUR,2004.18,1.24,0.06,0.0,0.0,2023-02-04
BET-TRN EUR,21663.79,83.22,0.39,0.0,0.0,2023-02-04
BET-XT-TRN EUR,1840.65,5.39,0.29,0.0,0.0,2023-02-04
BET LEI,12275.89,15.71,0.13,12299.8,12260.18,2023-02-05
BET-TR LEI,23877.03,30.56,0.13,23923.53,23846.47,2023-02-05
BETPlus LEI,1833.38,1.74,0.09,1837.44,1831.21,2023-02-05
BET-FI LEI,49974.13,276.1,0.56,49974.13,49428.67,2023-02-05
ROTX LEI,27399.41,67.27,0.25,27444.65,27336.92,2023-02-05
BET-XT LEI,1068.73,1.95,0.18,1069.37,1066.78,2023-02-05
BET-XT-TR LEI,2065.88,3.76,0.18,2067.12,2062.12,2023-02-05
BET-NG LEI,914.29,2.23,0.24,915.45,912.06,2023-02-05
BET-BK LEI,2334.6,1.85,0.08,2336.83,2327.42,2023-02-05
BET-TRN LEI,23757.81,30.4,0.13,23804.09,23727.41,2023-02-05
BET-XT-TRN LEI,2056.25,3.74,0.18,2057.49,2052.51,2023-02-05
BET USD,2051.87,-6.14,-0.3,0.0,0.0,2023-02-05
BET-TR USD,18257.59,-54.66,-0.3,0.0,0.0,2023-02-05
BETPlus USD,1314.63,-4.37,-0.33,0.0,0.0,2023-02-05
BET-FI USD,27557.8,34.97,0.13,0.0,0.0,2023-02-05
BET-XT USD,612.02,-1.5,-0.24,0.0,0.0,2023-02-05
BET-XT-TR USD,1540.75,-3.78,-0.24,0.0,0.0,2023-02-05
BET-NG USD,523.58,-0.96,-0.18,0.0,0.0,2023-02-05
BET-BK USD,1494.76,-5.21,-0.35,0.0,0.0,2023-02-05
BET-TRN USD,18166.42,-54.4,-0.3,0.0,0.0,2023-02-05
BET-XT-TRN USD,1533.59,-3.76,-0.24,0.0,0.0,2023-02-05
BET EUR,8721.67,14.54,0.17,0.0,0.0,2023-02-05
BET-TR EUR,21919.36,36.54,0.17,0.0,0.0,2023-02-05
BETPlus EUR,1644.26,2.2,0.13,0.0,0.0,2023-02-05
BET-FI EUR,22113.96,130.7,0.59,0.0,0.0,2023-02-05
BET-XT EUR,754.32,1.67,0.22,0.0,0.0,2023-02-05
BET-XT-TR EUR,1870.86,4.13,0.22,0.0,0.0,2023-02-05
BET-NG EUR,646.06,1.83,0.28,0.0,0.0,2023-02-05
BET-BK EUR,2026.19,2.39,0.12,0.0,0.0,2023-02-05
BET-TRN EUR,21919.36,36.54,0.17,0.0,0.0,2023-02-05
BET-XT-TRN EUR,1861.97,4.11,0.22,0.0,0.0,2023-02-05
BET LEI,12284.63,8.74,0.07,12336.22,12275.89,2023-02-06
BET-TR LEI,23894.03,17.0,0.07,23994.37,23877.03,2023-02-06
BETPlus LEI,1836.14,2.76,0.15,1843.6,1833.38,2023-02-06
BET-FI LEI,50040.43,66.3,0.13,50104.87,49518.78,2023-02-06
ROTX LEI,27417.73,18.32,0.07,27536.5,27404.19,2023-02-06
BET-XT LEI,1069.61,0.88,0.08,1073.07,1068.11,2023-02-06
BET-XT-TR LEI,2067.58,1.7,0.08,2074.28,2064.69,2023-02-06
BET-NG LEI,913.12,-1.17,-0.13,917.13,911.52,2023-02-06
BET-BK LEI,2333.68,-0.92,-0.04,2340.75,2329.38,2023-02-06
BET-TRN LEI,23774.73,16.92,0.07,23874.56,23757.81,2023-02-06
BET-XT-TRN LEI,2057.94,1.69,0.08,2064.61,2055.06,2023-02-06
BET USD,2019.67,-32.2,-1.57,0.0,0.0,2023-02-06
BET-TR USD,17971.09,-286.5,-1.57,0.0,0.0,2023-02-06
BETPlus USD,1295.03,-19.6,-1.49,0.0,0.0,2023-02-06
BET-FI USD,27142.02,-415.78,-1.51,0.0,0.0,2023-02-06
BET-XT USD,602.48,-9.54,-1.56,0.0,0.0,2023-02-06
BET-XT-TR USD,1516.74,-24.01,-1.56,0.0,0.0,2023-02-06
BET-NG USD,514.34,-9.24,-1.76,0.0,0.0,2023-02-06
BET-BK USD,1469.68,-25.08,-1.68,0.0,0.0,2023-02-06
BET-TRN USD,17881.36,-285.06,-1.57,0.0,0.0,2023-02-06
BET-XT-TRN USD,1509.69,-23.9,-1.56,0.0,0.0,2023-02-06
BET EUR,8722.36,0.69,0.01,0.0,0.0,2023-02-06
BET-TR EUR,21921.1,1.74,0.01,0.0,0.0,2023-02-06
BETPlus EUR,1645.69,1.43,0.09,0.0,0.0,2023-02-06
BET-FI EUR,22129.3,15.34,0.07,0.0,0.0,2023-02-06
BET-XT EUR,754.46,0.14,0.02,0.0,0.0,2023-02-06
BET-XT-TR EUR,1871.22,0.36,0.02,0.0,0.0,2023-02-06
BET-NG EUR,644.83,-1.23,-0.19,0.0,0.0,2023-02-06
BET-BK EUR,2024.11,-2.08,-0.1,0.0,0.0,2023-02-06
BET-TRN EUR,21921.1,1.74,0.01,0.0,0.0,2023-02-06
BET-XT-TRN EUR,1862.32,0.35,0.02,0.0,0.0,2023-02-06
BET LEI,12244.99,-94.3,-0.76,12368.3,12221.45,2023-02-07
BET-TR LEI,23816.92,-183.42,-0.76,24056.76,23771.13,2023-02-07
BETPlus LEI,1830.12,-13.48,-0.73,1847.64,1826.94,2023-02-07
BET-FI LEI,50028.97,-9.48,-0.02,50212.37,49627.35,2023-02-07
ROTX LEI,27269.78,-302.53,-1.1,27637.32,27206.89,2023-02-07
BET-XT LEI,1066.43,-7.68,-0.72,1076.13,1063.82,2023-02-07
BET-XT-TR LEI,2061.44,-14.84,-0.71,2080.18,2056.39,2023-02-07
BET-NG LEI,918.34,2.76,0.3,921.25,914.87,2023-02-07
BET-BK LEI,2337.46,-6.18,-0.26,2347.57,2329.91,2023-02-07
BET-TRN LEI,23698.01,-182.5,-0.76,23936.65,23652.45,2023-02-07
BET-XT-TRN LEI,2051.83,-14.77,-0.71,2070.49,2046.81,2023-02-07
BET USD,2014.04,-6.77,-0.34,0.0,0.0,2023-02-07
BET-TR USD,17920.96,-60.25,-0.34,0.0,0.0,2023-02-07
BETPlus USD,1291.35,-3.91,-0.3,0.0,0.0,2023-02-07
BET-FI USD,27147.71,111.78,0.41,0.0,0.0,2023-02-07
BET-XT USD,600.95,-1.72,-0.29,0.0,0.0,2023-02-07
BET-XT-TR USD,1512.9,-4.33,-0.29,0.0,0.0,2023-02-07
BET-NG USD,517.51,3.78,0.74,0.0,0.0,2023-02-07
BET-BK USD,1472.7,2.46,0.17,0.0,0.0,2023-02-07
BET-TRN USD,17831.49,-59.94,-0.34,0.0,0.0,2023-02-07
BET-XT-TRN USD,1505.87,-4.31,-0.29,0.0,0.0,2023-02-07
BET EUR,8707.35,-56.32,-0.64,0.0,0.0,2023-02-07
BET-TR EUR,21883.38,-141.54,-0.64,0.0,0.0,2023-02-07
BETPlus EUR,1642.78,-10.07,-0.61,0.0,0.0,2023-02-07
BET-FI EUR,22157.67,22.93,0.1,0.0,0.0,2023-02-07
BET-XT EUR,753.35,-4.5,-0.59,0.0,0.0,2023-02-07
BET-XT-TR EUR,1868.48,-11.15,-0.59,0.0,0.0,2023-02-07
BET-NG EUR,649.49,2.74,0.42,0.0,0.0,2023-02-07
BET-BK EUR,2030.45,-2.88,-0.14,0.0,0.0,2023-02-07
BET-TRN EUR,21883.38,-141.54,-0.64,0.0,0.0,2023-02-07
BET-XT-TRN EUR,1859.6,-11.09,-0.59,0.0,0.0,2023-02-07
BET LEI,12251.01,20.29,0.17,12287.56,12230.66,2023-02-08
BET-TR LEI,23828.63,39.46,0.17,23899.72,23789.05,2023-02-08
BETPlus LEI,1831.09,3.3,0.18,1836.32,1827.79,2023-02-08
BET-FI LEI,50046.08,-36.09,-0.07,50114.91,49862.46,2023-02-08
ROTX LEI,27227.45,37.68,0.14,27319.09,27195.11,2023-02-08
BET-XT LEI,1066.17,1.62,0.15,1069.36,1064.41,2023-02-08
BET-XT-TR LEI,2060.96,3.14,0.15,2067.11,2057.55,2023-02-08
BET-NG LEI,913.53,-0.52,-0.06,917.14,912.73,2023-02-08
BET-BK LEI,2338.59,-0.14,-0.01,2350.7,2337.83,2023-02-08
BET-TRN LEI,23709.66,39.26,0.17,23780.4,23670.28,2023-02-08
BET-XT-TRN LEI,2051.34,3.12,0.15,2057.47,2047.95,2023-02-08
BET USD,2003.95,-15.55,-0.77,0.0,0.0,2023-02-08
BET-TR USD,17831.12,-138.39,-0.77,0.0,0.0,2023-02-08
BETPlus USD,1284.93,-9.78,-0.76,0.0,0.0,2023-02-08
BET-FI USD,27007.58,-274.41,-1.01,0.0,0.0,2023-02-08
BET-XT USD,597.5,-4.72,-0.78,0.0,0.0,2023-02-08
BET-XT-TR USD,1504.22,-11.88,-0.78,0.0,0.0,2023-02-08
BET-NG USD,511.97,-5.12,-0.99,0.0,0.0,2023-02-08
BET-BK USD,1465.31,-13.91,-0.94,0.0,0.0,2023-02-08
BET-TRN USD,17742.1,-137.7,-0.77,0.0,0.0,2023-02-08
BET-XT-TRN USD,1497.23,-11.82,-0.78,0.0,0.0,2023-02-08
BET EUR,8696.89,-11.34,-0.13,0.0,0.0,2023-02-08
BET-TR EUR,21857.09,-28.51,-0.13,0.0,0.0,2023-02-08
BETPlus EUR,1640.87,-1.9,-0.12,0.0,0.0,2023-02-08
BET-FI EUR,22127.74,-81.62,-0.37,0.0,0.0,2023-02-08
BET-XT EUR,751.9,-1.08,-0.14,0.0,0.0,2023-02-08
BET-XT-TR EUR,1864.88,-2.68,-0.14,0.0,0.0,2023-02-08
BET-NG EUR,645.0,-2.28,-0.35,0.0,0.0,2023-02-08
BET-BK EUR,2027.99,-6.14,-0.3,0.0,0.0,2023-02-08
BET-TRN EUR,21857.09,-28.51,-0.13,0.0,0.0,2023-02-08
BET-XT-TRN EUR,1856.01,-2.67,-0.14,0.0,0.0,2023-02-08
BET LEI,12336.14,85.13,0.69,12336.14,12251.01,2023-02-09
BET-TR LEI,23994.21,165.58,0.69,23994.21,23828.63,2023-02-09
BETPlus LEI,1843.07,11.98,0.65,1843.07,1831.06,2023-02-09
BET-FI LEI,50164.6,118.52,0.24,50286.84,49811.83,2023-02-09
ROTX LEI,27376.59,149.14,0.55,27383.04,27252.25,2023-02-09
BET-XT LEI,1072.79,6.62,0.62,1072.79,1066.17,2023-02-09
BET-XT-TR LEI,2073.76,12.8,0.62,2073.76,2060.96,2023-02-09
BET-NG LEI,920.09,6.56,0.72,920.11,913.47,2023-02-09
BET-BK LEI,2359.47,20.88,0.89,2359.47,2338.59,2023-02-09
BET-TRN LEI,23874.41,164.75,0.69,23874.41,23709.66,2023-02-09
BET-XT-TRN LEI,2064.08,12.74,0.62,2064.08,2051.34,2023-02-09
BET USD,2012.91,8.96,0.45,0.0,0.0,2023-02-09
BET-TR USD,17910.84,79.72,0.45,0.0,0.0,2023-02-09
BETPlus USD,1290.15,5.22,0.41,0.0,0.0,2023-02-09
BET-FI USD,27004.91,-2.67,-0.01,0.0,0.0,2023-02-09
BET-XT USD,599.73,2.23,0.37,0.0,0.0,2023-02-09
BET-XT-TR USD,1509.84,5.62,0.37,0.0,0.0,2023-02-09
BET-NG USD,514.38,2.41,0.47,0.0,0.0,2023-02-09
BET-BK USD,1474.75,9.44,0.64,0.0,0.0,2023-02-09
BET-TRN USD,17821.42,79.32,0.45,0.0,0.0,2023-02-09
BET-XT-TRN USD,1502.82,5.59,0.37,0.0,0.0,2023-02-09
BET EUR,8758.75,61.86,0.71,0.0,0.0,2023-02-09
BET-TR EUR,22012.56,155.47,0.71,0.0,0.0,2023-02-09
BETPlus EUR,1651.87,11.0,0.67,0.0,0.0,2023-02-09
BET-FI EUR,22183.76,56.02,0.25,0.0,0.0,2023-02-09
BET-XT EUR,756.69,4.79,0.64,0.0,0.0,2023-02-09
BET-XT-TR EUR,1876.77,11.89,0.64,0.0,0.0,2023-02-09
BET-NG EUR,649.74,4.74,0.73,0.0,0.0,2023-02-09
BET-BK EUR,2046.43,18.44,0.91,0.0,0.0,2023-02-09
BET-TRN EUR,22012.56,155.47,0.71,0.0,0.0,2023-02-09
BET-XT-TRN EUR,1867.84,11.83,0.64,0.0,0.0,2023-02-09
BET LEI,12284.39,-51.75,-0.42,12363.55,12284.39,2023-02-10
BET-TR LEI,23893.55,-100.66,-0.42,24047.53,23893.55,2023-02-10
BETPlus LEI,1835.75,-7.32,-0.4,1847.02,1835.75,2023-02-10
BET-FI LEI,50080.99,-83.61,-0.17,50190.62,49815.73,2023-02-10
ROTX LEI,27263.6,-112.99,-0.41,27430.64,27262.84,2023-02-10
BET-XT LEI,1069.0,-3.79,-0.35,1075.09,1068.97,2023-02-10
BET-XT-TR LEI,2066.44,-7.32,-0.35,2078.2,2066.38,2023-02-10
BET-NG LEI,918.71,-1.38,-0.15,924.23,918.71,2023-02-10
BET-BK LEI,2348.79,-10.68,-0.45,2365.69,2348.41,2023-02-10
BET-TRN LEI,23774.25,-100.16,-0.42,23927.46,23774.25,2023-02-10
BET-XT-TRN LEI,2056.79,-7.29,-0.35,2068.5,2056.74,2023-02-10
BET USD,2019.29,6.38,0.32,0.0,0.0,2023-02-10
BET-TR USD,17967.58,56.74,0.32,0.0,0.0,2023-02-10
BETPlus USD,1294.53,4.38,0.34,0.0,0.0,2023-02-10
BET-FI USD,27159.24,154.33,0.57,0.0,0.0,2023-02-10
BET-XT USD,602.03,2.3,0.38,0.0,0.0,2023-02-10
BET-XT-TR USD,1515.63,5.79,0.38,0.0,0.0,2023-02-10
BET-NG USD,517.41,3.03,0.59,0.0,0.0,2023-02-10
BET-BK USD,1478.93,4.18,0.28,0.0,0.0,2023-02-10
BET-TRN USD,17877.87,56.45,0.32,0.0,0.0,2023-02-10
BET-XT-TRN USD,1508.58,5.76,0.38,0.0,0.0,2023-02-10
BET EUR,8726.46,-32.29,-0.37,0.0,0.0,2023-02-10
BET-TR EUR,21931.39,-81.17,-0.37,0.0,0.0,2023-02-10
BETPlus EUR,1646.15,-5.72,-0.35,0.0,0.0,2023-02-10
BET-FI EUR,22158.08,-25.68,-0.12,0.0,0.0,2023-02-10
BET-XT EUR,754.4,-2.29,-0.3,0.0,0.0,2023-02-10
BET-XT-TR EUR,1871.1,-5.67,-0.3,0.0,0.0,2023-02-10
BET-NG EUR,649.1,-0.64,-0.1,0.0,0.0,2023-02-10
BET-BK EUR,2038.21,-8.22,-0.4,0.0,0.0,2023-02-10
BET-TRN EUR,21931.39,-81.17,-0.37,0.0,0.0,2023-02-10
BET-XT-TRN EUR,1862.19,-5.65,-0.3,0.0,0.0,2023-02-10
BET LEI,12386.34,101.95,0.83,12403.57,12284.39,2023-02-11
BET-TR LEI,24091.85,198.3,0.83,24125.35,23893.55,2023-02-11
BETPlus LEI,1850.89,15.14,0.82,1853.27,1835.75,2023-02-11
BET-FI LEI,50577.22,496.23,0.99,50577.22,49784.1,2023-02-11
ROTX LEI,27462.81,199.21,0.73,27504.71,27258.84,2023-02-11
BET-XT LEI,1078.29,9.29,0.87,1078.66,1069.0,2023-02-11
BET-XT-TR LEI,2084.41,17.97,0.87,2085.11,2066.44,2023-02-11
BET-NG LEI,925.94,7.23,0.79,928.46,918.71,2023-02-11
BET-BK LEI,2369.92,21.13,0.9,2369.92,2348.79,2023-02-11
BET-TRN LEI,23971.56,197.31,0.83,24004.89,23774.25,2023-02-11
BET-XT-TRN LEI,2074.67,17.88,0.87,2075.38,2056.79,2023-02-11
BET USD,2030.12,10.83,0.54,0.0,0.0,2023-02-11
BET-TR USD,18063.99,96.41,0.54,0.0,0.0,2023-02-11
BETPlus USD,1301.41,6.88,0.53,0.0,0.0,2023-02-11
BET-FI USD,27348.54,189.3,0.7,0.0,0.0,2023-02-11
BET-XT USD,605.49,3.46,0.57,0.0,0.0,2023-02-11
BET-XT-TR USD,1524.36,8.73,0.58,0.0,0.0,2023-02-11
BET-NG USD,519.96,2.55,0.49,0.0,0.0,2023-02-11
BET-BK USD,1487.89,8.96,0.61,0.0,0.0,2023-02-11
BET-TRN USD,17973.8,95.93,0.54,0.0,0.0,2023-02-11
BET-XT-TRN USD,1517.27,8.69,0.58,0.0,0.0,2023-02-11
BET EUR,8802.29,75.83,0.87,0.0,0.0,2023-02-11
BET-TR EUR,22121.98,190.59,0.87,0.0,0.0,2023-02-11
BETPlus EUR,1660.37,14.22,0.86,0.0,0.0,2023-02-11
BET-FI EUR,22386.31,228.23,1.03,0.0,0.0,2023-02-11
BET-XT EUR,761.25,6.85,0.91,0.0,0.0,2023-02-11
