Symbol,Company_name,Face_value,Close ,Change_%,Open,High,Low,Avg_price,Volume,Turnover,No_of_trades,52_High,52_Min,Date
BTF,FONDUL INCHIS DE INVESTITII BET FI INDEX INVEST,200,610.0,0.0,610.0,610.0,610.0,610.0,5,3050.0,1,650.0,600.0,2023-03-04
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.124,2.16,18.18,18.228,18.0,18.1256,7053,127840.134,144,18.876,15.86,2023-03-05
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,4.903,-0.75,4.98,4.98,4.903,4.9346,8635,42610.755,60,5.327,4.903,2023-03-05
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.11,2.47,18.228,18.228,18.086,18.1222,15931,288706.048,116,18.876,15.86,2023-03-06
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,4.9475,0.91,4.903,4.949,4.903,4.9185,2258,11106.1,26,5.327,4.903,2023-03-06
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.238,3.47,18.11,18.244,18.11,18.1885,9152,166461.232,136,18.876,15.86,2023-03-07
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.019,1.45,4.902,5.019,4.902,4.9553,2327,11531.107,34,5.327,4.903,2023-03-07
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.414,2.52,18.4,18.432,18.3,18.3763,11009,202305.484,210,18.876,15.86,2023-03-08
PTENGETF,FONDUL DESCHIS DE INVESTITII ETF ENERGIE PATRIA-TRADEVILLE,5,5.064,1.8,5.095,5.095,5.033,5.0437,9080,45797.634,44,5.327,4.903,2023-03-08
TVBETETF,FONDUL DESCHIS DE INVESTITII ETF BET PATRIA-TRADEVILLE,5,18.5,1.33,18.412,18.5,18.412,18.4606,8689,160404.484,147,18.876,15.86,2023-03-09
