info,value_mil_ron,value_mil_usd,value_mil_eur,volume,trades,date
Market Cap,242823.15,55382.17,49097.83,0,0,2023-01-01
Cap Excluding SIF and FP,224340.05,51166.62,45360.63,0,0,2023-01-01
Cap SIF and FP,18483.1,4215.55,3737.21,0,0,2023-01-01
Total trading equites Shares,45335453.23,10339936.87,9166640.36,45482075,4848,2023-01-01
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-01
Total trading Bonds,6327776.32,1443215.03,1279450.09,17714,111,2023-01-01
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-01
Total trading Units,227788.0,51953.02,46057.79,12134,149,2023-01-01
Total trading Structured,3845631.46,877096.92,777570.71,1140197,651,2023-01-01
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-01
Total trading,55736649.01,12712201.84,11269718.94,46652120,5759,2023-01-01
Market Cap,214611.15,46869.59,43429.49,0,0,2023-01-02
Cap Excluding SIF and FP,196106.38,42828.27,39684.79,0,0,2023-01-02
Cap SIF and FP,18504.77,4041.31,3744.69,0,0,2023-01-02
Total trading equites Shares,21838353.12,4769344.84,4419287.9,14887718,4457,2023-01-02
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-02
Total trading Bonds,901828.54,196953.1,182497.28,9041,37,2023-01-02
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-02
Total trading Units,116339.82,25407.81,23542.95,6348,149,2023-01-02
Total trading Structured,779304.65,170194.73,157702.9,227620,239,2023-01-02
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-02
Total trading,23635826.13,5161900.48,4783031.02,15130727,4882,2023-01-02
Market Cap,196118.65,40923.7,39712.19,0,0,2023-01-03
Cap Excluding SIF and FP,179338.98,37422.32,36314.46,0,0,2023-01-03
Cap SIF and FP,16779.67,3501.38,3397.73,0,0,2023-01-03
Total trading equites Shares,17661511.2,3685393.48,3576290.61,7866999,2395,2023-01-03
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-03
Total trading Bonds,1312952.18,273971.2,265860.52,9884,103,2023-01-03
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-03
Total trading Units,61186.4,12767.65,12389.67,3518,51,2023-01-03
Total trading Structured,766591.93,159963.26,155227.68,661068,333,2023-01-03
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-03
Total trading,19802241.71,4132095.59,4009768.49,8541469,2882,2023-01-03
Market Cap,196808.26,41529.49,39913.25,0,0,2023-01-04
Cap Excluding SIF and FP,179858.63,37952.87,36475.82,0,0,2023-01-04
Cap SIF and FP,16949.63,3576.63,3437.43,0,0,2023-01-04
Total trading equites Shares,30198306.63,6372295.13,6124299.14,18533390,2793,2023-01-04
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-04
Total trading Bonds,795402.25,167841.79,161309.75,7197,115,2023-01-04
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-04
Total trading Units,69936.15,14757.58,14183.24,4018,47,2023-01-04
Total trading Structured,891405.24,188099.86,180779.42,565275,237,2023-01-04
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-04
Total trading,31955050.27,6742994.35,6480571.55,19109880,3192,2023-01-04
Market Cap,197718.12,41727.65,40199.68,0,0,2023-01-05
Cap Excluding SIF and FP,180751.32,38146.87,36750.02,0,0,2023-01-05
Cap SIF and FP,16966.81,3580.78,3449.66,0,0,2023-01-05
Total trading equites Shares,57903848.74,12220384.68,11772903.53,52419848,3291,2023-01-05
Total trading equites Rights,2712.29,572.42,551.46,2342637,45,2023-01-05
Total trading Bonds,1120139.39,236401.11,227744.67,6993,149,2023-01-05
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-05
Total trading Units,56885.0,12005.36,11565.75,3260,75,2023-01-05
Total trading Structured,949536.53,200396.03,193058.01,1115020,359,2023-01-05
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-05
Total trading,60033121.95,12669759.6,12205823.42,55887758,3919,2023-01-05
Market Cap,202544.14,43274.96,41229.52,0,0,2023-01-06
Cap Excluding SIF and FP,185046.53,39536.48,37667.74,0,0,2023-01-06
Cap SIF and FP,17497.61,3738.49,3561.78,0,0,2023-01-06
Total trading equites Shares,40160312.62,8580530.0,8174960.84,31247789,4737,2023-01-06
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-06
Total trading Bonds,1547328.44,330597.48,314971.39,7843,178,2023-01-06
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-06
Total trading Units,134043.38,28639.3,27285.63,7381,127,2023-01-06
Total trading Structured,1234498.88,263759.27,251292.36,437121,472,2023-01-06
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-06
Total trading,43076183.32,9203526.04,8768510.22,31700134,5514,2023-01-06
Market Cap,201870.57,43102.5,41042.28,0,0,2023-01-07
Cap Excluding SIF and FP,184146.06,39318.04,37438.71,0,0,2023-01-07
Cap SIF and FP,17724.51,3784.46,3603.57,0,0,2023-01-07
Total trading equites Shares,41042059.87,8763117.3,8344256.47,29499242,4664,2023-01-07
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-07
Total trading Bonds,2068780.55,441716.78,420603.53,7466,146,2023-01-07
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-07
Total trading Units,188898.87,40332.84,38405.01,10104,132,2023-01-07
Total trading Structured,1483863.59,316827.92,301684.13,547267,586,2023-01-07
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-07
Total trading,44783602.88,9561994.84,9104949.14,30064079,5528,2023-01-07
Market Cap,201034.26,42908.36,40867.27,0,0,2023-01-08
Cap Excluding SIF and FP,183364.87,39137.04,37275.34,0,0,2023-01-08
Cap SIF and FP,17669.39,3771.32,3591.92,0,0,2023-01-08
Total trading equites Shares,36062390.21,7697086.61,7330946.13,22406646,3856,2023-01-08
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-08
Total trading Bonds,1175246.17,250842.26,238910.02,7697,140,2023-01-08
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-08
Total trading Units,74363.55,15872.01,15117.0,4051,82,2023-01-08
Total trading Structured,1050565.36,224230.63,213564.27,305433,358,2023-01-08
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-08
Total trading,38362565.29,8188031.52,7798537.42,22723827,4436,2023-01-08
Market Cap,200393.95,42944.01,40659.41,0,0,2023-01-09
Cap Excluding SIF and FP,182793.35,39172.24,37088.29,0,0,2023-01-09
Cap SIF and FP,17600.6,3771.77,3571.12,0,0,2023-01-09
Total trading equites Shares,24283663.65,5203939.58,4927091.6,27181027,3460,2023-01-09
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-09
Total trading Bonds,1147348.93,245874.53,232794.08,6638,133,2023-01-09
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-09
Total trading Units,2358088.92,505333.64,478450.05,43768,158,2023-01-09
Total trading Structured,384073.24,82306.11,77927.45,109825,158,2023-01-09
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-09
Total trading,28173174.74,6037453.86,5716263.18,27341258,3909,2023-01-09
Market Cap,198718.44,42442.16,40296.56,0,0,2023-01-10
Cap Excluding SIF and FP,181192.61,38699.0,36742.63,0,0,2023-01-10
Cap SIF and FP,17525.84,3743.16,3553.93,0,0,2023-01-10
Total trading equites Shares,39872297.91,8515900.53,8085391.14,40171822,4176,2023-01-10
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-10
Total trading Bonds,1358178.9,290079.0,275414.47,10721,167,2023-01-10
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-10
Total trading Units,137582.08,29384.69,27899.19,7467,140,2023-01-10
Total trading Structured,3446750.64,736154.85,698939.58,1060919,863,2023-01-10
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-10
Total trading,44814809.52,9571519.08,9087644.38,41250929,5346,2023-01-10
Market Cap,196576.39,42525.99,39915.61,0,0,2023-01-11
Cap Excluding SIF and FP,179396.11,38809.33,36427.08,0,0,2023-01-11
Cap SIF and FP,17180.29,3716.67,3488.52,0,0,2023-01-11
Total trading equites Shares,877163176.87,189759475.79,178111431.3,1983499875,6077,2023-01-11
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-11
Total trading Bonds,1571555.23,339979.5,319110.47,9973,138,2023-01-11
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-11
Total trading Units,144555.61,31272.17,29352.58,8055,142,2023-01-11
Total trading Structured,1567015.33,338997.36,318188.62,273159,382,2023-01-11
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-11
Total trading,880446303.04,190469724.83,178778082.97,1983791062,6739,2023-01-11
Market Cap,196164.17,42333.33,39865.9,0,0,2023-01-12
Cap Excluding SIF and FP,178901.49,38607.94,36357.66,0,0,2023-01-12
Cap SIF and FP,17262.68,3725.38,3508.25,0,0,2023-01-12
Total trading equites Shares,38753220.57,8363162.1,7875710.39,51146697,4086,2023-01-12
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-12
Total trading Bonds,3513203.74,758169.05,713978.73,26369,205,2023-01-12
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-12
Total trading Units,122873.41,26516.77,24971.22,6862,122,2023-01-12
Total trading Structured,3878072.79,836909.83,788130.06,622313,657,2023-01-12
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-12
Total trading,46267370.51,9984757.75,9402790.41,51802241,5070,2023-01-12
Market Cap,198914.06,42931.4,40449.42,0,0,2023-01-13
Cap Excluding SIF and FP,181191.46,39106.35,36845.5,0,0,2023-01-13
Cap SIF and FP,17722.6,3825.05,3603.91,0,0,2023-01-13
Total trading equites Shares,55116143.72,11895656.16,11207935.52,21836493,3252,2023-01-13
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-13
Total trading Bonds,489924010.65,105739755.82,99626649.31,6804,149,2023-01-13
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-13
Total trading Units,159515.44,34428.04,32437.66,8131,140,2023-01-13
Total trading Structured,1437650.39,310286.49,292347.97,196155,290,2023-01-13
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-13
Total trading,546637320.2,117980126.51,111159370.46,22047583,3831,2023-01-13
Market Cap,200076.64,43313.19,40715.64,0,0,2023-01-14
Cap Excluding SIF and FP,182091.29,39419.67,37055.62,0,0,2023-01-14
Cap SIF and FP,17985.35,3893.52,3660.02,0,0,2023-01-14
Total trading equites Shares,71304677.87,15436251.78,14510516.45,67314380,3523,2023-01-14
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-14
Total trading Bonds,1665661631.89,360587455.22,338962481.05,10176219,10806,2023-01-14
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-14
Total trading Units,97464.92,21099.5,19834.13,5381,77,2023-01-14
Total trading Structured,3138584.2,679450.17,638702.52,335307,388,2023-01-14
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-14
Total trading,1740202358.88,376724256.67,354131534.16,77831287,14794,2023-01-14
Market Cap,201137.67,43569.3,41029.24,0,0,2023-01-15
Cap Excluding SIF and FP,183055.05,39652.35,37340.65,0,0,2023-01-15
Cap SIF and FP,18082.62,3916.95,3688.6,0,0,2023-01-15
Total trading equites Shares,30020229.43,6502811.53,6123703.04,19980883,3574,2023-01-15
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-15
Total trading Bonds,1614645.44,349755.32,329364.88,6602,112,2023-01-15
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-15
Total trading Units,375475.38,81333.34,76591.68,8317,73,2023-01-15
Total trading Structured,1104248.06,239195.94,225251.01,344772,384,2023-01-15
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-15
Total trading,33114598.31,7173096.13,6754910.61,20340574,4143,2023-01-15
Market Cap,201659.4,43785.7,41170.94,0,0,2023-01-16
Cap Excluding SIF and FP,183724.15,39891.47,37509.27,0,0,2023-01-16
Cap SIF and FP,17935.25,3894.23,3661.67,0,0,2023-01-16
Total trading equites Shares,30027489.35,6519777.95,6130436.16,14374481,3342,2023-01-16
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-16
Total trading Bonds,1793387.85,389392.88,366139.49,9903,82,2023-01-16
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-16
Total trading Units,57019.57,12380.49,11641.16,3120,72,2023-01-16
Total trading Structured,3658001.55,794250.81,746820.51,497345,479,2023-01-16
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-16
Total trading,35535898.32,7715802.13,7255037.32,14884849,3975,2023-01-16
Market Cap,201115.11,43550.26,41027.15,0,0,2023-01-17
Cap Excluding SIF and FP,183124.31,39654.46,37357.06,0,0,2023-01-17
Cap SIF and FP,17990.8,3895.8,3670.09,0,0,2023-01-17
Total trading equites Shares,19144357.12,4145594.87,3905417.61,21822005,3251,2023-01-17
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-17
Total trading Bonds,1882251.07,407590.1,383976.15,8406,139,2023-01-17
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-17
Total trading Units,56422.1,12217.87,11510.02,3081,73,2023-01-17
Total trading Structured,2225219.25,481857.78,453941.09,275993,430,2023-01-17
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-17
Total trading,23308249.54,5047260.61,4754844.86,22109485,3893,2023-01-17
Market Cap,202203.09,43747.02,41033.14,0,0,2023-01-18
Cap Excluding SIF and FP,184170.98,39845.74,37373.87,0,0,2023-01-18
Cap SIF and FP,18032.11,3901.28,3659.26,0,0,2023-01-18
Total trading equites Shares,24755846.24,5355973.74,5023711.64,28655801,2831,2023-01-18
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-18
Total trading Bonds,788552.84,170604.88,160021.27,4858,98,2023-01-18
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-18
Total trading Units,133649.39,28915.3,27121.51,7324,74,2023-01-18
Total trading Structured,846440.94,183129.08,171768.52,149866,326,2023-01-18
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-18
Total trading,26524489.41,5738623.0,5382622.95,28817849,3329,2023-01-18
Market Cap,197393.12,42449.22,39907.23,0,0,2023-01-19
Cap Excluding SIF and FP,179830.02,38672.29,36356.47,0,0,2023-01-19
Cap SIF and FP,17563.1,3776.93,3550.75,0,0,2023-01-19
Total trading equites Shares,137776285.92,29628671.62,27854413.58,238919524,11390,2023-01-19
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-19
Total trading Bonds,11935846.72,2566793.56,2413085.89,32532,243,2023-01-19
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-19
Total trading Units,893037.83,192047.02,180546.64,28486,233,2023-01-19
Total trading Structured,2724242.04,585845.9,550763.61,389831,341,2023-01-19
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-19
Total trading,153329412.51,32973358.09,30998809.71,239370373,12207,2023-01-19
Market Cap,197295.77,42428.28,39891.58,0,0,2023-01-20
Cap Excluding SIF and FP,179677.63,38639.52,36329.34,0,0,2023-01-20
Cap SIF and FP,17618.14,3788.77,3562.24,0,0,2023-01-20
Total trading equites Shares,63835743.15,13727821.58,12907061.17,90341578,8375,2023-01-20
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-20
Total trading Bonds,1200591.38,258186.14,242749.68,9978,153,2023-01-20
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-20
Total trading Units,241779.54,51994.48,48885.83,13769,206,2023-01-20
Total trading Structured,1805468.51,388264.44,365050.85,422237,471,2023-01-20
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-20
Total trading,67083582.58,14426266.65,13563747.53,90787562,9205,2023-01-20
Market Cap,197182.07,42545.65,39855.7,0,0,2023-01-21
Cap Excluding SIF and FP,179529.22,38736.72,36287.59,0,0,2023-01-21
Cap SIF and FP,17652.85,3808.93,3568.11,0,0,2023-01-21
Total trading equites Shares,35438886.48,7646590.1,7163133.46,44773389,5686,2023-01-21
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-21
Total trading Bonds,999649.29,215692.68,202055.48,7647,146,2023-01-21
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-21
Total trading Units,190642.02,41134.51,38533.78,10834,144,2023-01-21
Total trading Structured,1248552.73,269398.16,252365.43,312318,316,2023-01-21
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-21
Total trading,37877730.52,8172815.45,7656088.14,45104188,6292,2023-01-21
Market Cap,205226.16,44241.22,41658.44,0,0,2023-01-22
Cap Excluding SIF and FP,187323.49,40381.88,38024.42,0,0,2023-01-22
Cap SIF and FP,17902.67,3859.33,3634.03,0,0,2023-01-22
Total trading equites Shares,30580961.44,6592429.38,6207567.68,28018492,3324,2023-01-22
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-22
Total trading Bonds,1902062.4,410033.28,386095.81,11443,147,2023-01-22
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-22
Total trading Units,224878.93,48477.82,45647.72,12209,111,2023-01-22
Total trading Structured,1374449.15,296294.11,278996.66,252692,541,2023-01-22
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-22
Total trading,34082351.92,7347234.6,6918307.87,28294836,4123,2023-01-22
Market Cap,206322.84,44477.63,41898.92,0,0,2023-01-23
Cap Excluding SIF and FP,188367.13,40606.87,38252.57,0,0,2023-01-23
Cap SIF and FP,17955.71,3870.77,3646.35,0,0,2023-01-23
Total trading equites Shares,27494943.36,5927167.23,5583523.21,23437920,3775,2023-01-23
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-23
Total trading Bonds,675083.92,145529.86,137092.36,5071,102,2023-01-23
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-23
Total trading Units,105782.8,22803.91,21481.79,5757,111,2023-01-23
Total trading Structured,2771921.97,597551.51,562906.8,431968,506,2023-01-23
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-23
Total trading,31047732.04,6693052.51,6305004.16,23880716,4494,2023-01-23
Market Cap,208622.93,45204.42,42358.27,0,0,2023-01-24
Cap Excluding SIF and FP,190667.48,41313.84,38712.64,0,0,2023-01-24
Cap SIF and FP,17955.45,3890.59,3645.63,0,0,2023-01-24
Total trading equites Shares,53849587.0,11668130.05,10933482.29,37978117,3635,2023-01-24
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-24
Total trading Bonds,1155048.33,250275.9,234518.06,9189,156,2023-01-24
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-24
Total trading Units,154279.05,33429.19,31324.42,8417,150,2023-01-24
Total trading Structured,2704953.05,586109.3,549206.74,445491,558,2023-01-24
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-24
Total trading,57863867.43,12537944.44,11748531.51,38441214,4499,2023-01-24
Market Cap,207343.85,45204.47,42097.71,0,0,2023-01-25
Cap Excluding SIF and FP,189410.16,41294.62,38456.57,0,0,2023-01-25
Cap SIF and FP,17933.69,3909.85,3641.14,0,0,2023-01-25
Total trading equites Shares,21614651.46,4712359.69,4388494.4,15609032,3056,2023-01-25
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-25
Total trading Bonds,2187236.53,476854.57,444081.89,20265,171,2023-01-25
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-25
Total trading Units,139942.42,30509.82,28412.97,7611,129,2023-01-25
Total trading Structured,2546135.39,555100.59,516950.31,324947,444,2023-01-25
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-25
Total trading,26487965.8,5774824.66,5377939.57,15961855,3800,2023-01-25
Market Cap,209075.01,45559.04,42384.65,0,0,2023-01-26
Cap Excluding SIF and FP,191186.93,41661.1,38758.3,0,0,2023-01-26
Cap SIF and FP,17888.08,3897.95,3626.35,0,0,2023-01-26
Total trading equites Shares,27403064.66,5971337.44,5555275.84,30216123,3902,2023-01-26
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-26
Total trading Bonds,938618.46,204532.14,190281.07,4508,128,2023-01-26
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-26
Total trading Units,150410.55,32775.61,30491.92,8138,137,2023-01-26
Total trading Structured,1058449.94,230644.34,214573.86,225571,439,2023-01-26
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-26
Total trading,29550543.61,6439289.53,5990622.68,30454340,4606,2023-01-26
Market Cap,205065.69,44987.32,41583.67,0,0,2023-01-27
Cap Excluding SIF and FP,187709.72,41179.77,38064.19,0,0,2023-01-27
Cap SIF and FP,17355.96,3807.55,3519.48,0,0,2023-01-27
Total trading equites Shares,22023656.45,4831550.45,4466004.87,16408526,3872,2023-01-27
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-01-27
Total trading Bonds,1900156.35,416856.36,385317.83,9659,110,2023-01-27
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-27
Total trading Units,668274.47,146606.07,135514.15,20594,196,2023-01-27
Total trading Structured,1336182.06,293131.66,270953.9,288298,388,2023-01-27
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-27
Total trading,25928269.33,5688144.55,5257790.75,16727077,4566,2023-01-27
Market Cap,208109.38,45783.61,42165.82,0,0,2023-01-28
Cap Excluding SIF and FP,190588.81,41929.12,38615.91,0,0,2023-01-28
Cap SIF and FP,17520.57,3854.49,3549.91,0,0,2023-01-28
Total trading equites Shares,24203414.48,5324697.93,4903943.77,12883440,3689,2023-01-28
Total trading equites Rights,23531.95,5176.98,4767.9,22752826,215,2023-01-28
Total trading Bonds,1531800.08,336992.65,310363.71,8743,91,2023-01-28
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-28
Total trading Units,121839.36,26804.39,24686.33,6711,90,2023-01-28
Total trading Structured,2017121.13,443762.21,408696.41,629238,380,2023-01-28
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-28
Total trading,27897707.0,6137434.16,5652458.1,36280958,4465,2023-01-28
Market Cap,208338.46,45838.04,42297.93,0,0,2023-01-29
Cap Excluding SIF and FP,190950.07,42012.29,38767.65,0,0,2023-01-29
Cap SIF and FP,17388.39,3825.75,3530.28,0,0,2023-01-29
Total trading equites Shares,42054979.51,9252817.21,8538215.31,26851775,2586,2023-01-29
Total trading equites Rights,21884.49,4814.96,4443.1,24208404,182,2023-01-29
Total trading Bonds,1897423.0,417465.62,385224.44,12500,132,2023-01-29
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-29
Total trading Units,109352.55,24059.44,22201.31,6016,74,2023-01-29
Total trading Structured,1465819.59,322505.46,297598.13,303668,369,2023-01-29
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-29
Total trading,45549459.14,10021662.69,9247682.29,51382363,3343,2023-01-29
Market Cap,210236.98,46582.69,42732.83,0,0,2023-01-30
Cap Excluding SIF and FP,192572.84,42668.8,39142.41,0,0,2023-01-30
Cap SIF and FP,17664.15,3913.89,3590.42,0,0,2023-01-30
Total trading equites Shares,26725831.36,5921703.3,5432300.37,13852913,2786,2023-01-30
Total trading equites Rights,14486.36,3209.78,2944.5,24270213,107,2023-01-30
Total trading Bonds,1002677.62,222165.56,203804.55,8623,127,2023-01-30
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-30
Total trading Units,102483.2,22707.44,20830.76,5615,86,2023-01-30
Total trading Structured,2272996.38,503632.98,462009.91,442489,524,2023-01-30
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-30
Total trading,30118474.92,6673419.06,6121890.09,38579853,3630,2023-01-30
Market Cap,210607.12,46696.77,42967.01,0,0,2023-01-31
Cap Excluding SIF and FP,192899.5,42770.56,39354.39,0,0,2023-01-31
Cap SIF and FP,17707.62,3926.21,3612.62,0,0,2023-01-31
Total trading equites Shares,25338949.0,5618267.66,5169526.07,13014073,3428,2023-01-31
Total trading equites Rights,143119.51,31733.11,29198.53,212406804,245,2023-01-31
Total trading Bonds,1481081.71,328392.21,302162.91,7825,129,2023-01-31
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-01-31
Total trading Units,168324.81,37321.75,34340.79,9171,129,2023-01-31
Total trading Structured,2325051.78,515521.11,474345.47,494459,504,2023-01-31
Total trading Futures,0.0,0.0,0.0,0,0,2023-01-31
Total trading,29456526.81,6531235.84,6009573.77,225932332,4435,2023-01-31
Market Cap,211238.85,47148.37,43235.26,0,0,2023-02-01
Cap Excluding SIF and FP,193611.94,43214.06,39627.48,0,0,2023-02-01
Cap SIF and FP,17626.91,3934.32,3607.78,0,0,2023-02-01
Total trading equites Shares,26419924.59,5896909.71,5407492.03,10033242,2751,2023-02-01
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-02-01
Total trading Bonds,1195159.97,266758.91,244619.09,8630,124,2023-02-01
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-02-01
Total trading Units,78503.15,17521.85,16067.61,4277,65,2023-02-01
Total trading Structured,1872479.81,417936.25,383249.37,410746,602,2023-02-01
Total trading Futures,0.0,0.0,0.0,0,0,2023-02-01
Total trading,29566067.52,6599126.73,6051428.12,10456895,3542,2023-02-01
Market Cap,210169.62,46770.88,42865.52,0,0,2023-02-02
Cap Excluding SIF and FP,192667.43,42875.96,39295.83,0,0,2023-02-02
Cap SIF and FP,17502.19,3894.92,3569.69,0,0,2023-02-02
Total trading equites Shares,21444141.64,4772151.87,4373677.67,16605797,3390,2023-02-02
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-02-02
Total trading Bonds,1163295.21,258878.23,237261.92,8018,118,2023-02-02
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-02-02
Total trading Units,178400.74,39701.07,36386.04,9727,186,2023-02-02
Total trading Structured,1503335.05,334550.26,306615.34,258008,492,2023-02-02
Total trading Futures,0.0,0.0,0.0,0,0,2023-02-02
Total trading,24289172.64,5405281.43,4953940.98,16881550,4186,2023-02-02
Market Cap,212217.23,46676.03,43115.18,0,0,2023-02-03
Cap Excluding SIF and FP,194711.1,42825.65,39558.54,0,0,2023-02-03
Cap SIF and FP,17506.13,3850.38,3556.64,0,0,2023-02-03
Total trading equites Shares,22844211.69,5024460.4,4641151.47,28630964,3418,2023-02-03
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-02-03
Total trading Bonds,1190386.58,261819.07,241845.26,6939,145,2023-02-03
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-02-03
Total trading Units,125877.99,27686.18,25574.04,6799,114,2023-02-03
Total trading Structured,2451900.41,539282.19,498141.12,540450,647,2023-02-03
Total trading Futures,0.0,0.0,0.0,0,0,2023-02-03
Total trading,26612376.67,5853247.84,5406711.9,29185152,4324,2023-02-03
Market Cap,213114.17,47199.28,43361.72,0,0,2023-02-04
Cap Excluding SIF and FP,195560.47,43311.59,39790.12,0,0,2023-02-04
Cap SIF and FP,17553.7,3887.69,3571.6,0,0,2023-02-04
Total trading equites Shares,14382041.53,3185250.16,2926271.98,21258477,3499,2023-02-04
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-02-04
Total trading Bonds,862886.54,191107.05,175569.0,4188,103,2023-02-04
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-02-04
Total trading Units,341282.23,75585.19,69439.7,10595,153,2023-02-04
Total trading Structured,1852425.42,410264.31,376907.59,398398,396,2023-02-04
Total trading Futures,0.0,0.0,0.0,0,0,2023-02-04
Total trading,17438635.72,3862206.7,3548188.26,21671658,4151,2023-02-04
Market Cap,215296.96,48032.7,43933.67,0,0,2023-02-05
Cap Excluding SIF and FP,197656.08,44097.02,40333.86,0,0,2023-02-05
Cap SIF and FP,17640.88,3935.68,3599.81,0,0,2023-02-05
Total trading equites Shares,23607330.17,5266789.41,4817330.92,18987934,3347,2023-02-05
Total trading equites Rights,0.0,0.0,0.0,0,0,2023-02-05
Total trading Bonds,920172.27,205290.2,187771.1,4272,130,2023-02-05
Total trading equites Shares,0.0,0.0,0.0,0,0,2023-02-05
